Year,PDO-win,PDO-sum,ONI,SST_buoys,Temp_win_upper20,Temp_sum_upper20,deepTemp,deepSalinity,CopRichness,NcopBio,ScopBio,BioTrans,IchthyoBio,IchthyoCom,ChinookCPUE,cohoCPUE,PC1,PC2
1998,5.07,-0.37,1.116666667,13.76867308,12.2959039,10.34911772,8.593296766,33.54099662,4.535462963,-0.757299077,0.599064,187,0.48,-9.23,0.273362643,0.348631588,4.035837453,0.25993568
1999,-1.75,-5.13,-1.066666667,13.20417683,10.30529062,10.06769873,7.627874994,33.85741997,-2.581203704,0.043293478,-0.231465778,119,1.64,-20.27,1.30370011,2.294566846,-2.872038682,-0.787859562
2000,-4.17,-3.58,-1.066666667,13.32789769,10.12394128,10.15571187,7.741633336,33.7818395,-3.411203704,0.14866859,-0.20753163,97,0.97,-28.78,1.050236767,1.500395291,-2.757998786,0.379479406
2001,1.86,-4.22,-0.4,12.97676974,10.22219663,9.764306758,7.557718356,33.85520331,-1.031203704,0.147288145,-0.215433593,79,1.27,-14.37,0.475107214,2.86599045,-2.27675457,-1.134667498
2002,-1.73,-0.26,0.183333333,13.04661182,10.07917918,8.986627083,7.459973292,33.85418806,-1.12287037,0.285332867,-0.231111,94,1.95,-13.39,0.92924073,2.50745391,-2.743784165,-1.804187032
2003,7.45,3.42,0.266666667,13.56115291,10.70430873,9.621274284,7.809176739,33.68387006,1.985462963,-0.131705744,0.088898815,141,0.4,-2.02,0.718334931,3.575356769,1.275806545,-0.521902127
2004,1.85,2.96,0.2,14.67848545,10.86371172,11.31238953,7.881430837,33.66346027,1.418796296,0.054353145,0.203276593,131,0.32,19.63,0.434569854,1.132087919,2.142822591,2.118135346
2005,2.44,3.48,0.466666667,13.58226399,10.60946295,10.72929709,7.969121695,33.77227351,4.385462963,-0.845571855,0.545906593,214,0.49,33.31,0.156571616,0.233699608,3.207740054,-0.691731824
2006,1.94,0.28,-0.3,12.72942277,10.59440829,9.972286334,7.833391104,33.84802322,2.678796296,-0.008463188,0.070938667,130,1.16,-34.95,0.724095103,1.12958964,-0.81917115,-1.502173706
2007,-0.17,0.91,0.083333333,13.64097859,10.03768906,10.06684928,7.57536466,33.87874667,-0.631203704,0.13648759,-0.07171063,81,0.48,9.39,0.863679809,3.487493253,-0.690120579,-0.100567365
2008,-3.06,-7.63,-0.983333333,12.44574041,9.326896191,9.298367109,7.476170047,33.86705526,-0.764537037,0.257111478,-0.23368137,64,1.64,-31.67,2.61383728,3.366838138,-4.389424571,-1.721696906
2009,-5.41,-1.11,-0.233333333,13.44213275,10.19124751,9.896447049,7.733894928,33.71984978,-0.64787037,0.15265259,-0.18574563,65,0.62,-3.73,1.019965612,1.872766849,-1.633000897,0.578197434
2010,2.17,-3.53,0.55,12.75560318,11.01262498,10.4233498,7.889290023,33.60709871,3.118796296,0.163250367,0.206396593,150,1.87,11.43,0.954157954,1.842392703,0.2490629,-0.533652573
2011,-3.65,-6.45,-0.716666667,13.2285461,10.02330954,9.9498684,7.808944294,33.75281555,-2.134537037,0.435566145,-0.141027259,82,1.21,-29.37,0.500190417,1.260356912,-2.977280013,0.335270705
2012,-5.07,-7.79,-0.433333333,13.34482771,9.620569549,9.923543933,7.556963332,33.74855309,-1.314537037,0.39179259,-0.185681926,125,1.55,-32.64,1.357170006,1.119200647,-3.288739114,-0.115905075
2013,-1.67,-3.47,-0.3,13.71511667,10.12041676,10.427661,7.936553383,33.75643361,-2.514537037,0.275947034,-0.201934519,91,1.09,-16.47,1.377262595,4.917164687,-1.733221797,1.096734711
2014,1.24,5.07,-0.283333333,14.02819022,9.615473495,10.94522461,8.379953273,33.53053029,-0.114537037,0.259889256,-0.018003037,91,0.46,-13.98,0.870055129,1.630770878,0.516646457,3.189737959
2015,9.26,8.08,0.666666667,13.89484867,12.72678187,10.68519094,8.137868261,33.71075179,7.418796296,-0.280781855,0.414646037,365,0.51,30.61,0.575440519,1.956321025,5.415327746,-1.026498525
2016,6.69,6.6,1.216666667,13.82534761,12.02582561,10.31635118,7.887266636,33.8281531,8.15212963,-0.894811855,0.503255481,365,0.49,33.66,0.374919206,1.420481891,5.320031731,-2.404977469
2017,3.38,2.18,0.133333333,13.58565066,11.46567218,10.14293879,8.056105065,33.84759483,2.785462963,-0.630325188,0.314636963,179,0.64,38.92,0.075068979,0.223910457,2.392624779,-1.140186006
2018,1.52,0.45,-0.45,13.70750217,10.62783154,10.33529363,8.106109953,33.85225029,0.385462963,0.221598145,0.002426222,149,1.12,28.98,0.500935246,4.044793855,0.11856174,0.201737007
2019,2.01,3.94,0.716666667,14.67729003,10.98598149,11.30509046,8.044206699,33.78910344,0.05212963,0.401649256,0.124244741,127,0.43,32.59,0.875407243,1.676039607,2.105436602,2.175372068
2020,-0.76,-1.35,0.283333333,13.4,9.37,10.86625507,8.675759983,33.54421959,-1.681203704,0.477758145,-0.150120444,75,1.25,12.91,0.547977076,1.649017109,-0.598364273,3.15140535
